schema.org/AdministrativeArea	AdministrativeArea
schema.org/Airport	Airport
schema.org/Answer	Answer
schema.org/Book	Book
schema.org/City	City
schema.org/CollegeOrUniversity	CollegeOrUniversity
schema.org/Continent	Continent
schema.org/Country	Country
schema.org/CreativeWork	CreativeWork
schema.org/Dataset	Dataset
schema.org/EducationalOrganization	EducationalOrganization
schema.org/Event	Event
schema.org/FAQPage	FAQPage
schema.org/GeoCoordinates	GeoCoordinates
schema.org/GovernmentOrganization	GovernmentOrganization
schema.org/Hospital	Hospital
schema.org/Hotel	Hotel
schema.org/JobPosting	JobPosting
schema.org/LakeBodyOfWater	LakeBodyOfWater
schema.org/LandmarksOrHistoricalBuildings	LandmarksOrHistoricalBuildings
schema.org/Language	Language
schema.org/Library	Library
schema.org/LocalBusiness	LocalBusiness
schema.org/Mountain	Mountain
schema.org/Movie	Movie
schema.org/Museum	Museum
schema.org/MusicAlbum	MusicAlbum
schema.org/MusicRecording	MusicRecording
schema.org/Organization	Organization
schema.org/Painting	Painting
schema.org/Park	Park
schema.org/Person	Person
schema.org/Place	Place
schema.org/Product	Product
schema.org/QAPage	QAPage
schema.org/Question	Question
schema.org/RadioStation	RadioStation
schema.org/Recipe	Recipe
schema.org/Restaurant	Restaurant
schema.org/RiverBodyOfWater	RiverBodyOfWater
schema.org/School	School
schema.org/ShoppingCenter	ShoppingCenter
schema.org/SkiResort	SkiResort
schema.org/SportsEvent	SportsEvent
schema.org/SportsTeam	SportsTeam
schema.org/StadiumOrArena	StadiumOrArena
schema.org/TVEpisode	TVEpisode
schema.org/TelevisionStation	TelevisionStation
